지역,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
경기 동부2권,101.369863,101.875,102.5,103.75,104.375,105,104.375,104.5454545,103.2467532,103.2467532,104.5454545,104.5454545,103.8961039,103.8961039,103.8961039,103.8961039,102.5974026,102.5974026,102.5974026,102.5974026,102.5974026,102.5974026,105.1948052,103.8961039,100.6493506,101.9480519,101.9480519,103.8961039,101.9480519,103.2467532,102.5974026,102.5974026,101.9480519,101.2987013,103.8961039,102.5974026,97.22222222,97.22222222,98.61111111,102.7777778,103.4722222,97.91666667,101.3888889,97.91666667,97.22222222,95.13888889,91.66666667,93.05555556,82.63888889,84.50704225,83.8028169,76.76056338,77.46478873,80.98591549,78.16901408,91.54929577,89.43661972,90.71428571,90.71428571,91.42857143,90.14084507,85.41666667,88.19444444,84.02777778,87.5,83.33333333,88.19444444,88.88888889,88.19444444,88.19444444
경기 경의권,100.8032129,100.1953125,102.5390625,104.6875,106.0546875,106.4453125,106.25,111.0486891,111.7977528,113.4831461,114.9812734,113.2958801,110.6741573,109.7378277,109.7378277,107.8651685,107.6779026,107.6779026,107.4906367,107.6779026,108.2397004,108.0645161,109.8566308,108.2437276,106.09319,102.688172,102.688172,103.4050179,103.7634409,106.6308244,105.5555556,109.3189964,105.9139785,93.01075269,98.02867384,93.18996416,89.13043478,86.28762542,88.46153846,90.80267559,82.60869565,79.93311037,79.59866221,78.76254181,77.75919732,81.77257525,85.95317726,88.29431438,85.28428094,82.69230769,80.60897436,80.44871795,81.57051282,81.89102564,81.73076923,81.41025641,83.97435897,83.97435897,84.93589744,85.25641026,89.90384615,94.81707317,100.6097561,103.2012195,103.3536585,103.5060976,110.3658537,127.4390244,124.3902439,121.6463415
경기 경원권,107.8014184,105.3191489,103.9007092,105.3191489,104.2553191,105.3191489,108.8652482,108.9655172,110,108.2758621,108.2758621,111.0344828,104.137931,105.1724138,105.1724138,105.5172414,105.1724138,108.2758621,107.9310345,105.5172414,106.5517241,104.4871795,110.8974359,111.8589744,106.7307692,89.1025641,89.42307692,90.06410256,90.06410256,90.06410256,90.06410256,90.06410256,90.06410256,90.06410256,90.06410256,90.06410256,97.33727811,97.63313609,97.63313609,97.63313609,95.26627219,94.9704142,94.9704142,94.37869822,94.67455621,94.9704142,94.67455621,94.37869822,94.37869822,96.02272727,94.60227273,92.04545455,84.375,82.95454545,79.54545455,80.39772727,64.77272727,65.625,67.04545455,68.18181818,71.875,74.45652174,83.9673913,87.77173913,87.77173913,87.77173913,91.84782609,110.0543478,113.8586957,114.4021739
인천 ,93.51351351,93.43163539,96.64879357,97.85522788,100.2680965,100.1340483,101.8766756,103.9845758,103.8560411,104.1131105,103.8560411,103.8560411,103.8560411,104.4987147,104.1131105,103.7275064,104.1131105,104.2416452,104.4987147,102.4421594,102.3136247,98.24561404,102.5062657,100.3759398,99.87468672,99.49874687,96.36591479,96.74185464,98.37092732,99.12280702,99.87468672,97.99498747,100.877193,99.62406015,100.7518797,101.2531328,100.5285412,100.9513742,100.6342495,100.6342495,93.44608879,89.85200846,89.9577167,87.73784355,86.25792812,88.90063425,90.38054968,93.65750529,95.77167019,90.04106776,88.19301848,88.19301848,87.67967146,88.29568789,87.37166324,89.42505133,87.88501027,93.32648871,94.35318275,95.07186858,95.79055441,97.24950884,100.6385069,107.7111984,109.1355599,109.9214145,108.3005894,107.956778,102.0628684,100.8840864
부산 ,99.60380349,100.2332815,101.8662519,110.0311042,108.6314152,106.4541213,105.4432348,107.0121951,105.2591463,104.9542683,108.8414634,109.6036585,101.2957317,97.4847561,96.18902439,97.86585366,99.00914634,100.0762195,100.9146341,101.6006098,108.6128049,109.3797277,113.9939486,114.0695915,104.8411498,104.6142209,103.3282905,104.6142209,104.387292,103.9334342,106.429652,104.7655068,99.92435703,96.59606657,95.46142209,94.25113464,81.21990369,79.85553772,79.53451043,80.09630819,74.47833066,71.66934189,69.66292135,67.09470305,63.72391653,61.71749599,59.47030498,56.09951846,54.81540931,48.08306709,46.00638978,44.7284345,46.24600639,46.24600639,45.92651757,44.88817891,44.40894569,45.68690096,46.32587859,61.10223642,69.48881789,72.2734255,73.80952381,73.57910906,65.97542243,67.35791091,68.43317972,86.17511521,90.55299539,93.39477727
부산 중부산권,99.64157706,99.28315412,99.82078853,106.4516129,105.9139785,105.0179211,106.09319,106.4912281,105.0877193,105.9649123,105.2631579,105.0877193,99.8245614,101.4035088,101.4035088,100.877193,101.0526316,103.1578947,103.8596491,105.2631579,107.7192982,108.9473684,111.9298246,113.5087719,109.4736842,108.245614,105.9649123,106.6666667,105.9649123,106.6666667,107.0175439,108.9473684,105.7894737,101.2280702,100,99.64912281,75.09363296,75.09363296,74.53183521,79.21348315,70.41198502,69.1011236,67.22846442,66.47940075,67.0411985,66.66666667,63.48314607,62.17228464,62.35955056,60.27131783,58.91472868,52.51937984,54.65116279,55.03875969,54.84496124,52.51937984,51.74418605,53.68217054,54.45736434,72.6744186,80.81395349,86.24535316,86.80297398,87.5464684,74.9070632,77.69516729,75.83643123,100.7434944,103.9033457,102.7881041
부산 동부산권,101.9553073,103.8043478,107.3369565,116.3043478,114.4021739,110.0543478,106.5217391,113.6363636,111.7647059,111.2299465,116.5775401,117.6470588,95.18716578,90.10695187,89.57219251,90.37433155,91.71122995,91.71122995,92.2459893,91.17647059,114.7058824,116.0427807,124.5989305,120.855615,101.8716578,102.6737968,102.6737968,103.7433155,101.3368984,98.6631016,100,94.9197861,88.5026738,86.09625668,79.94652406,79.94652406,77.77777778,75.83333333,76.11111111,73.88888889,69.72222222,67.22222222,66.94444444,67.5,61.94444444,55.55555556,54.44444444,48.33333333,46.94444444,36.70212766,35.37234043,38.56382979,41.4893617,40.95744681,41.22340426,41.4893617,41.75531915,42.0212766,42.0212766,64.89361702,80.05319149,79.89690722,80.67010309,76.28865979,70.10309278,70.6185567,73.96907216,92.78350515,97.16494845,105.1546392
부산 서부산권,97.10982659,98.05555556,99.44444444,109.1666667,106.9444444,105,103.3333333,101.0869565,98.91304348,97.01086957,106.5217391,108.423913,109.7826087,98.91304348,94.83695652,100.8152174,103.2608696,103.8043478,105.1630435,106.5217391,103.8043478,103.4391534,106.6137566,108.2010582,100.7936508,101.0582011,100,102.3809524,105.026455,105.026455,111.9047619,108.2010582,102.3809524,100,103.968254,100.2645503,94.03409091,91.19318182,90.625,87.78409091,85.51136364,80.11363636,76.13636364,67.61363636,60.51136364,60.51136364,58.52272727,54.82954545,51.42045455,42.5,38.61111111,40,39.16666667,39.16666667,38.05555556,37.5,36.66666667,38.05555556,39.16666667,40.55555556,42.22222222,44.41489362,48.13829787,50.79787234,48.93617021,49.20212766,52.12765957,58.5106383,64.62765957,67.81914894
대구 ,111.4285714,115.4285714,116.4285714,117.1428571,117.2857143,117.7142857,119.4285714,117.4647887,118.7323944,119.5774648,118.7323944,118.5915493,108.3098592,105.4929577,95.21126761,81.54929577,80,80.70422535,79.71830986,78.30985915,81.26760563,75.96685083,79.14364641,83.42541436,83.14917127,81.49171271,83.97790055,84.1160221,87.01657459,87.56906077,88.12154696,91.02209945,95.02762431,94.47513812,92.54143646,91.16022099,85.69739953,86.28841608,85.69739953,90.30732861,91.72576832,89.12529551,86.76122931,88.17966903,90.07092199,95.98108747,101.0638298,99.64539007,96.92671395,93.70786517,96.06741573,95.50561798,93.82022472,93.03370787,94.49438202,93.82022472,93.25842697,95.50561798,97.97752809,99.66292135,101.9101124,106.7180617,107.1585903,101.2114537,93.28193833,96.47577093,104.2951542,105.8370044,112.5550661,115.30837
광주 ,98.94067797,98.72881356,98.94067797,98.94067797,100.6355932,102.3305085,102.5423729,99.36440678,99.36440678,98.72881356,99.15254237,100,99.78813559,99.78813559,99.57627119,99.57627119,99.57627119,99.36440678,99.36440678,99.57627119,98.51694915,98.72881356,98.94067797,98.94067797,99.15254237,99.78813559,98.72881356,97.45762712,94.27966102,93.8559322,93.22033898,93.8559322,92.58474576,93.00847458,95.55084746,98.72881356,102.9010239,104.6075085,104.778157,104.778157,104.6075085,103.2423208,104.4368601,101.5358362,101.5358362,103.2423208,105.4607509,106.8259386,104.4368601,100.3225806,100.6451613,100.483871,96.4516129,90.48387097,87.74193548,87.09677419,87.90322581,89.19354839,88.70967742,91.12903226,92.58064516,90.72327044,92.45283019,91.98113208,90.09433962,90.09433962,89.77987421,89.62264151,91.50943396,91.82389937
대전 ,95.3539823,94.71365639,92.07048458,95.81497797,93.17180617,93.83259912,94.05286344,93.39207048,99.33920705,96.03524229,101.3215859,103.0837004,97.13656388,96.69603524,97.13656388,98.01762115,99.55947137,97.13656388,96.69603524,98.6784141,96.69603524,101.9067797,102.3305085,100.4237288,104.2372881,105.0847458,103.3898305,102.9661017,102.7542373,101.6949153,101.059322,98.51694915,103.3898305,102.5423729,102.5423729,104.2372881,100.7407407,101.6666667,102.037037,101.6666667,98.14814815,98.33333333,99.25925926,100.5555556,101.6666667,100.3703704,105,105.7407407,104.4444444,101.6245487,101.4440433,101.0830325,98.01444043,99.45848375,98.37545126,105.234657,109.0252708,112.4548736,112.8158845,115.5234657,118.9530686,113.869258,117.2261484,119.6996466,117.4028269,111.3957597,120.0530035,117.844523,116.6077739,118.0212014
울산 ,102.970297,103.3980583,104.368932,106.3106796,108.2524272,107.7669903,107.2815534,105.4794521,105.9360731,109.3607306,111.6438356,109.3607306,109.8173516,111.1872146,110.7305936,108.9041096,104.109589,104.3378995,105.0228311,101.5981735,84.01826484,78.66666667,80.44444444,81.11111111,80.44444444,79.11111111,80.44444444,80.88888889,76.66666667,78,77.55555556,77.77777778,78.88888889,78.22222222,79.33333333,78,85.84070796,78.76106195,82.52212389,82.30088496,75.44247788,71.23893805,69.02654867,65.92920354,59.51327434,60.84070796,58.40707965,55.75221239,55.30973451,53.38983051,55.08474576,54.02542373,54.87288136,56.1440678,56.3559322,56.3559322,58.47457627,56.77966102,61.86440678,73.72881356,82.41525424,84.63114754,86.2704918,87.09016393,86.06557377,84.22131148,86.68032787,105.942623,98.97540984,101.2295082
세종 ,92.30769231,81.14754098,92.62295082,95.90163934,89.3442623,82.78688525,86.8852459,89.88764045,88.76404494,89.3258427,89.88764045,92.69662921,91.57303371,96.06741573,93.82022472,98.31460674,94.94382022,94.38202247,95.50561798,97.75280899,102.8089888,103.2110092,105.0458716,104.1284404,100.9174312,100.4587156,91.74311927,96.78899083,100.4587156,114.6788991,127.9816514,130.733945,112.3853211,87.1559633,99.08256881,89.90825688,101.5625,105.46875,96.09375,104.6875,107.03125,99.21875,101.5625,101.5625,96.875,89.84375,94.53125,92.1875,96.875,96.98795181,92.1686747,91.56626506,84.93975904,83.73493976,75.30120482,76.5060241,83.73493976,90.36144578,94.57831325,93.97590361,101.8072289,103.6458333,116.1458333,116.1458333,111.4583333,106.7708333,111.4583333,128.6458333,129.6875,129.1666667
강원 ,99.81617647,100.9191176,102.2058824,102.5735294,105.1851852,98.71323529,98.16176471,98.21428571,100,99.4047619,99.6031746,101.7857143,101.7857143,100.1984127,100.5952381,99.20634921,98.61111111,98.21428571,96.62698413,96.62698413,97.02380952,100.1901141,100.3802281,101.9011407,100.9505703,100.9505703,100.9505703,100.3802281,96.19771863,97.14828897,97.33840304,102.2813688,104.1825095,104.9429658,105.3231939,95.62737643,90.90909091,93.18181818,94.6969697,94.44444444,89.8989899,88.13131313,84.09090909,83.83838384,84.09090909,82.57575758,78.53535354,77.02020202,75.50505051,75,76.2755102,74.48979592,70.91836735,69.89795918,69.64285714,66.83673469,66.58163265,66.83673469,66.58163265,66.07142857,66.07142857,70.64676617,73.01980198,72.77227723,71.03960396,73.51485149,83.41584158,91.08910891,90.84158416,93.06930693
충북 ,101.9434629,101.7667845,101.2367491,101.7667845,101.7667845,101.4134276,101.9434629,100.7380074,100.7380074,100.7380074,100.5535055,100.7380074,100.9225092,100.7380074,100,100,99.81549815,100.1845018,99.81549815,99.07749077,98.15498155,98.22695035,95.56737589,97.34042553,96.63120567,96.27659574,96.09929078,97.34042553,96.80851064,97.87234043,97.5177305,97.87234043,96.27659574,95.03546099,94.14893617,93.26241135,88.44827586,88.44827586,88.96551724,88.79310345,84.82758621,83.10344828,83.79310345,81.20689655,80.86206897,81.37931034,79.31034483,79.82758621,80,69.52191235,69.52191235,67.52988048,68.12749004,67.92828685,67.1314741,67.1314741,66.73306773,65.93625498,66.13545817,66.33466135,66.13545817,69.84732824,74.04580153,74.42748092,75,80.34351145,94.27480916,96.5648855,96.3740458,95.22900763
충남 ,102.3224044,102.4590164,100,101.2295082,101.5027322,103.0054645,98.36065574,98.93899204,97.87798408,96.15384615,93.89920424,96.15384615,94.03183024,93.89920424,91.51193634,92.30769231,90.84880637,90.84880637,90.18567639,91.64456233,88.19628647,94.01041667,93.61979167,91.40625,89.32291667,93.22916667,92.31770833,93.61979167,91.66666667,92.31770833,91.796875,94.140625,95.44270833,96.09375,94.79166667,93.359375,92.71428571,89.85714286,87.85714286,88.57142857,86.57142857,85.71428571,80.57142857,85.28571429,86.85714286,86.42857143,83.42857143,83.14285714,83.71428571,83.46560847,89.55026455,85.97883598,89.28571429,89.94708995,89.55026455,89.02116402,87.03703704,87.43386243,87.3015873,87.43386243,90.47619048,91.64490862,95.82245431,94.25587467,91.25326371,94.38642298,97.79792746,105.3108808,110.880829,112.1761658
전북 ,92.21453287,95.57823129,95.91836735,100.170068,98.80952381,97.10884354,97.95918367,100.3412969,101.5358362,103.2423208,104.4368601,104.2662116,102.21843,101.5358362,98.12286689,97.6109215,95.90443686,95.90443686,97.44027304,100,95.90443686,100.1706485,103.5836177,103.2423208,105.1194539,104.2662116,107.6791809,108.0204778,108.3617747,108.5324232,106.8259386,105.4607509,100.8532423,100.6825939,100.5119454,101.5358362,99.82014388,98.38129496,96.94244604,96.94244604,95.32374101,94.0647482,91.36690647,89.74820144,88.30935252,90.4676259,90.82733813,93.16546763,94.0647482,90.03759398,88.53383459,85.71428571,81.57894737,81.39097744,76.69172932,78.7593985,76.31578947,76.87969925,77.34962406,76.59774436,79.79323308,83.7037037,84.25925926,87.59259259,86.2962963,87.40740741,90.74074074,91.85185185,92.40740741,90.37037037
전남 ,99.46619217,100,100.1694915,102.3728814,105.7627119,102.7118644,103.0508475,101.8644068,100.3389831,97.62711864,99.15254237,101.6949153,100.8474576,100.3389831,98.13559322,96.94915254,98.13559322,100.3389831,100,100,104.9152542,104.6925566,105.1779935,105.987055,104.0453074,104.5307443,101.618123,104.0453074,103.3980583,100.9708738,100.9708738,102.5889968,102.4271845,101.9417476,105.1779935,104.8543689,97.12041885,98.16753927,99.7382199,97.38219895,98.16753927,96.85863874,97.64397906,101.0471204,103.6649215,105.7591623,107.591623,111.7801047,107.8534031,105.0239234,103.1100478,100.7177033,96.88995215,94.25837321,93.77990431,94.25837321,96.41148325,96.41148325,95.6937799,97.36842105,94.49760766,95.02369668,95.49763033,94.78672986,90.99526066,96.44549763,97.1563981,98.57819905,105.9241706,102.6066351
경북 ,110.492228,108.2338902,109.3078759,109.4272076,109.9045346,107.7565632,110.1431981,103.7330317,108.5972851,108.4841629,107.918552,107.239819,98.19004525,96.15384615,95.92760181,88.80090498,90.49773756,88.46153846,88.00904977,86.76470588,83.71040724,81.14035088,79.16666667,79.05701754,78.39912281,78.72807018,76.53508772,76.4254386,75.43859649,75.87719298,77.96052632,76.97368421,77.63157895,74.78070175,75,75.65789474,84.84419263,81.01983003,81.44475921,77.90368272,76.48725212,72.94617564,70.39660057,67.28045326,62.46458924,62.32294618,64.30594901,61.75637394,60.76487252,62.53298153,57.12401055,57.78364116,57.3878628,56.99208443,58.97097625,60.02638522,65.17150396,65.96306069,65.69920844,65.83113456,67.81002639,71.72236504,74.16452442,78.27763496,78.14910026,80.20565553,80.59125964,92.54498715,98.20051414,94.98714653
경남 ,105.2894212,105.3254438,104.5364892,106.3116371,106.1143984,105.7199211,106.3116371,104.0594059,103.8613861,104.950495,103.4653465,101.980198,101.8811881,100.2970297,99.7029703,99.7029703,99.7029703,98.51485149,95.74257426,96.23762376,95.44554455,93.66471735,93.2748538,93.37231969,92.88499025,93.07992203,93.66471735,93.95711501,92.30019493,91.796875,91.8128655,91.32553606,88.30409357,87.23196881,87.23196881,86.25730994,79.17466411,78.79078695,79.46257198,78.98272553,75.71976967,72.55278311,70.34548944,69.00191939,62.85988484,57.48560461,55.75815739,53.26295585,53.55086372,54.89220564,53.23383085,50.58043118,50.8291874,49.75124378,48.92205638,58.62354892,56.71641791,55.55555556,56.21890547,56.38474295,63.76451078,65.29126214,67.5566343,68.85113269,64.4012945,62.94498382,69.57928803,91.10032362,93.52750809,91.74757282
제주 ,131.6176471,140.4109589,133.5616438,130.8219178,131.5068493,134.2465753,136.3013699,146.5753425,145.890411,146.5753425,148.630137,156.1643836,154.109589,159.5890411,150,141.7808219,120.5479452,103.4246575,90.4109589,90.4109589,100.6849315,106.7073171,107.3170732,109.7560976,107.3170732,108.5365854,104.8780488,102.4390244,96.95121951,98.17073171,97.56097561,97.56097561,98.17073171,92.68292683,91.46341463,93.90243902,81.37254902,80.39215686,82.35294118,83.33333333,76.47058824,78.43137255,75.49019608,70.58823529,61.76470588,67.64705882,64.70588235,66.66666667,63.7254902,68.75,70.53571429,70.53571429,70.53571429,72.32142857,69.64285714,70.53571429,71.42857143,70.53571429,70.53571429,75.89285714,74.10714286,75,71.55172414,70.68965517,70.68965517,69.82758621,69.82758621,68.96551724,68.96551724,67.24137931
